dataset,instrument,original_file,split_file,subset,split_x_variable,split_y_variable,original_index_1based,split_row_1based
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,20,1
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,197,2
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,198,3
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,174,4
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,78,5
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,167,6
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,17,7
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,8,8
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,14,9
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,141,10
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,219,11
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,188,12
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,226,13
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,40,14
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,130,15
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,140,16
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,177,17
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,46,18
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,62,19
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,237,20
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,98,21
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,159,22
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,23,23
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,181,24
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,183,25
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,240,26
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,53,27
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,148,28
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,155,29
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,69,30
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,164,31
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,35,32
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,21,33
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,190,34
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,165,35
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,241,36
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,72,37
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,160,38
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,213,39
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,207,40
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,144,41
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,77,42
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,127,43
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,223,44
